timestamp,lat,lon,alt_m,speed_kmh,course_deg,hdop,sats
2025-09-20T09:26:23Z,48.821066,2.069337,127.2,120.86,41.6,3.72,3
2025-09-20T09:26:24Z,48.821307,2.069648,127.9,121.27,41.9,3.71,3
2025-09-20T09:26:25Z,48.821560,2.069959,125.6,122.21,41.7,3.71,3
2025-09-20T09:26:26Z,48.821793,2.070264,126.8,122.90,41.6,3.71,3
2025-09-20T09:26:27Z,48.822029,2.070578,126.7,123.57,41.7,3.71,3
2025-09-20T09:26:28Z,48.822248,2.070887,126.6,124.12,41.7,3.71,3
2025-09-20T09:26:29Z,48.822474,2.071200,127.7,124.07,41.7,3.71,3
2025-09-20T09:26:30Z,48.822705,2.071514,125.8,124.16,41.6,3.71,3
2025-09-20T09:26:31Z,48.822934,2.071823,126.0,123.84,41.5,3.71,3
2025-09-20T09:26:32Z,48.823158,2.072129,128.0,123.88,41.5,3.71,3
2025-09-20T09:26:33Z,48.823391,2.072440,127.8,122.68,41.7,3.71,3
2025-09-20T09:26:34Z,48.823619,2.072750,125.2,122.66,41.6,3.71,3
2025-09-20T09:26:35Z,48.823842,2.073059,127.0,121.84,41.9,3.71,3
2025-09-20T09:26:36Z,48.824067,2.073363,128.0,121.14,42.0,3.71,3
2025-09-20T09:26:37Z,48.824067,2.073363,128.0,121.14,42.0,99.99,0
2025-09-20T09:26:42Z,48.825426,2.075175,128.7,119.47,40.9,3.70,3
2025-09-20T09:26:43Z,48.825649,2.075478,127.8,119.25,40.9,3.70,3
2025-09-20T09:26:44Z,48.825874,2.075785,126.3,118.64,40.7,3.70,3
2025-09-20T09:26:45Z,48.826094,2.076080,127.6,118.06,40.3,3.70,3
2025-09-20T09:26:46Z,48.826315,2.076369,127.7,118.34,39.7,3.70,3
2025-09-20T09:26:47Z,48.826533,2.076659,128.3,117.92,39.7,3.70,3
2025-09-20T09:26:48Z,48.826758,2.076941,128.3,119.40,39.2,3.70,3
2025-09-20T09:26:49Z,48.826980,2.077223,128.1,117.55,40.2,3.70,3
2025-09-20T09:26:50Z,48.827202,2.077508,128.4,117.27,40.2,3.70,3
2025-09-20T09:26:51Z,48.827425,2.077793,128.4,118.21,40.1,3.70,3
2025-09-20T09:26:52Z,48.827647,2.078077,128.4,116.79,40.0,3.70,3
2025-09-20T09:26:53Z,48.827866,2.078358,128.4,115.73,40.1,3.70,3
2025-09-20T09:26:54Z,48.827866,2.078358,128.4,115.73,40.1,99.99,0
2025-09-20T09:27:01Z,48.829580,2.080536,128.4,108.60,40.4,3.69,3
2025-09-20T09:27:02Z,48.829783,2.080808,128.7,108.53,40.5,3.69,3
2025-09-20T09:27:03Z,48.829874,2.081004,117.5,108.81,40.6,2.33,6
2025-09-20T09:27:04Z,48.830066,2.081237,119.2,108.69,40.4,2.33,6
